ID,time,mass,x,y,z
2,526.781,1.2,2.136,7.159,0.893
3,526.781,0.7,-1.008,-2.178,0.193
4,526.781,1.1,0.455,-2.829,-0.936
0,527.368,1.0,-1.353,-2.313,-0.085
1,527.368,0.75,-1.347,-2.345,-0.063
2,527.368,1.2,2.142,7.223,0.9
3,527.368,0.7,-1.04,-2.142,0.136
4,527.368,1.1,0.474,-2.815,-0.948
0,527.956,1.0,-1.266,-2.382,0.005
1,527.956,0.75,-1.439,-2.391,-0.105
2,527.956,1.2,2.148,7.287,0.907
3,527.956,0.7,-1.102,-2.127,0.058
4,527.956,1.1,0.49,-2.801,-0.96
0,528.543,1.0,-1.244,-2.453,0.061
1,528.543,0.75,-1.413,-2.396,-0.091
2,528.543,1.2,2.154,7.351,0.914
3,528.543,0.7,-1.194,-2.154,-0.031
4,528.543,1.1,0.505,-2.786,-0.97
0,529.13,1.0,-1.258,-2.483,0.069
1,529.13,0.75,-1.313,-2.399,-0.024
2,529.13,1.2,2.159,7.415,0.921
3,529.13,0.7,-1.311,-2.242,-0.113
4,529.13,1.1,0.517,-2.77,-0.979
0,529.718,1.0,-1.206,-2.399,0.049
1,529.718,0.75,-1.312,-2.47,0.022
2,529.718,1.2,2.165,7.479,0.928
3,529.718,0.7,-1.413,-2.419,-0.132
4,529.718,1.1,0.528,-2.754,-0.988
0,530.305,1.0,-1.169,-2.408,0.07
1,530.305,0.75,-1.367,-2.417,-0.079
2,530.305,1.2,2.171,7.543,0.935
3,530.305,0.7,-1.43,-2.598,-0.056
4,530.305,1.1,0.536,-2.738,-0.995
0,530.892,1.0,-1.195,-2.436,0.052
1,530.892,0.75,-1.395,-2.416,-0.149
2,530.892,1.2,2.177,7.606,0.942
3,530.892,0.7,-1.383,-2.695,0.044
4,530.892,1.1,0.543,-2.722,-1.001
0,531.479,1.0,-1.264,-2.483,0.004
1,531.479,0.75,-1.386,-2.441,-0.169
2,531.479,1.2,2.183,7.67,0.949
3,531.479,0.7,-1.313,-2.736,0.129
4,531.479,1.1,0.548,-2.705,-1.006
0,532.067,1.0,-1.344,-2.511,-0.103
1,532.067,0.75,-1.363,-2.54,-0.079
2,532.067,1.2,2.188,7.733,0.956
3,532.067,0.7,-1.237,-2.724,0.181
4,532.067,1.1,0.551,-2.688,-1.01
0,532.654,1.0,-1.297,-2.573,-0.053
1,532.654,0.75,-1.491,-2.625,-0.16
2,532.654,1.2,2.194,7.796,0.963
3,532.654,0.7,-1.177,-2.68,0.19
4,532.654,1.1,0.551,-2.67,-1.013
0,533.241,1.0,-1.301,-2.671,-0.002
1,533.241,0.75,-1.52,-2.678,-0.198
2,533.241,1.2,2.2,7.86,0.97
3,533.241,0.7,-1.148,-2.62,0.148
4,533.241,1.1,0.55,-2.653,-1.015
0,533.828,1.0,-1.294,-2.754,0.059
1,533.828,0.75,-1.506,-2.727,-0.197
2,533.828,1.2,2.205,7.923,0.976
3,533.828,0.7,-1.179,-2.583,0.05
4,533.828,1.1,0.548,-2.636,-1.016
0,534.416,1.0,-1.27,-2.787,0.097
1,534.416,0.75,-1.453,-2.773,-0.159
2,534.416,1.2,2.211,7.985,0.983
3,534.416,0.7,-1.272,-2.623,-0.056
4,534.416,1.1,0.543,-2.618,-1.016
0,535.003,1.0,-1.265,-2.779,0.071
1,535.003,0.75,-1.347,-2.754,-0.085
2,535.003,1.2,2.217,8.048,0.99
3,535.003,0.7,-1.393,-2.789,-0.112
4,535.003,1.1,0.536,-2.601,-1.015
0,535.59,1.0,-1.314,-2.731,-0.031
1,535.59,0.75,-1.341,-2.774,-0.096
2,535.59,1.2,2.222,8.111,0.997
3,535.59,0.7,-1.324,-2.969,0.03
4,535.59,1.1,0.527,-2.584,-1.013
0,536.178,1.0,-1.321,-2.78,-0.036
1,536.178,0.75,-1.41,-2.783,-0.217
2,536.178,1.2,2.228,8.173,1.004
3,536.178,0.7,-1.233,-3.025,0.15
4,536.178,1.1,0.517,-2.567,-1.01
0,536.765,1.0,-1.358,-2.853,-0.103
1,536.765,0.75,-1.423,-2.794,-0.225
2,536.765,1.2,2.233,8.236,1.011
3,536.765,0.7,-1.155,-3.041,0.236
4,536.765,1.1,0.504,-2.55,-1.006
0,537.352,1.0,-1.385,-2.859,-0.14
1,537.352,0.75,-1.435,-2.909,-0.252
2,537.352,1.2,2.239,8.298,1.017
3,537.352,0.7,-1.091,-3.043,0.298
4,537.352,1.1,0.49,-2.534,-1.0
